学号,姓名,楼群,楼号,楼层,宿舍号,性别,是否有车
115092020168,赵燕,李苑,1,1,101,女,有
115092020113,陈玉英,李苑,1,1,101,女,没有
115092020101,王静,李苑,1,1,101,女,有
115092020157,常红霞,李苑,1,1,101,女,有
115062020072,薛桂花,李苑,1,1,102,女,没有
115062020151,吕璐,李苑,1,1,102,女,没有
115062020015,裘丽华,李苑,1,1,102,女,没有
115062020136,奚丹丹,李苑,1,1,102,女,有
115002020052,曾秀芳,李苑,1,1,103,女,有
115002020076,冯玉梅,李苑,1,1,103,女,没有
115002020090,贾琴,李苑,1,1,103,女,没有
115002020014,曹秀珍,李苑,1,1,103,女,没有
115032020062,王莹,李苑,1,1,104,女,没有
115032020049,王伟,李苑,1,1,104,女,有
115032020049,谢荣,李苑,1,1,104,女,有
115032020070,聂玲,李苑,1,1,104,女,有
115012020132,邱玉珍,李苑,1,1,105,女,有
115012020193,袁萍,李苑,1,1,105,女,有
115012020039,黄娟,李苑,1,1,105,女,没有
115012020198,周杨,李苑,1,1,105,女,有
115102020144,相利,李苑,1,1,106,女,没有
115102020183,赵洋,李苑,1,1,106,女,有
115102020004,陈秀英,李苑,1,1,106,女,有
115102020082,朱帅,李苑,1,1,106,女,有
115042020032,黎桂荣,李苑,1,1,107,女,有
115042020169,刘慧,李苑,1,1,107,女,有
115042020140,陈莹,李苑,1,1,107,女,没有
115042020143,刘飞,李苑,1,1,107,女,有
115072020135,郑阳,李苑,1,1,108,女,没有
115072020107,钟玉,李苑,1,1,108,女,没有
115072020136,朱秀英,李苑,1,1,108,女,没有
115072020118,郭彬,李苑,1,1,108,女,没有
115082020144,郭婷婷,李苑,1,1,109,女,没有
115082020163,刘秀梅,李苑,1,1,109,女,有
115082020119,张阳,李苑,1,1,109,女,有
115082020043,杨玉珍,李苑,1,1,109,女,没有
115102020104,邹建军,李苑,1,1,110,女,没有
115102020147,文宇,李苑,1,1,110,女,有
115102020106,喻成,李苑,1,1,110,女,没有
115102020055,王鑫,李苑,1,1,110,女,没有
115002020107,袁海燕,李苑,1,1,111,女,有
115002020125,赵斌,李苑,1,1,111,女,没有
115002020188,吴瑜,李苑,1,1,111,女,没有
115002020198,吴小红,李苑,1,1,111,女,有
115062020154,王桂荣,李苑,1,1,112,女,有
115062020089,张丹丹,李苑,1,1,112,女,有
115062020099,余云,李苑,1,1,112,女,没有
115062020018,傅超,李苑,1,1,112,女,有
115002020182,文晶,李苑,1,1,113,女,有
115002020180,欧洁,李苑,1,1,113,女,有
115002020147,单刚,李苑,1,1,113,女,没有
115002020053,罗兵,李苑,1,1,113,女,没有
115012020056,孟娟,李苑,1,1,114,女,没有
115012020055,孙军,李苑,1,1,114,女,有
115012020198,张云,李苑,1,1,114,女,有
115012020142,邓雪,李苑,1,1,114,女,有
115082020027,桂玉珍,李苑,1,1,115,女,没有
115082020164,杨东,李苑,1,1,115,女,没有
115082020157,张建国,李苑,1,1,115,女,没有
115082020029,李雪,李苑,1,1,115,女,有
115032020118,孙军,李苑,1,1,116,女,没有
115032020009,王红,李苑,1,1,116,女,没有
115032020129,章桂荣,李苑,1,1,116,女,有
115032020064,李鑫,李苑,1,1,116,女,没有
115082020143,邱琳,李苑,1,1,117,女,有
115082020163,张峰,李苑,1,1,117,女,有
115082020079,池桂珍,李苑,1,1,117,女,有
115082020200,何帆,李苑,1,1,117,女,有
115032020027,王桂英,李苑,1,1,118,女,没有
115032020052,王桂兰,李苑,1,1,118,女,有
115032020130,王强,李苑,1,1,118,女,没有
115032020087,王佳,李苑,1,1,118,女,没有
115012020175,刘桂英,李苑,1,1,119,女,没有
115012020040,许红梅,李苑,1,1,119,女,没有
115012020008,邓欢,李苑,1,1,119,女,没有
115012020027,王旭,李苑,1,1,119,女,没有
115022020021,邹雪梅,李苑,1,1,120,女,没有
115022020170,赖丽丽,李苑,1,1,120,女,没有
115022020118,余秀华,李苑,1,1,120,女,有
115022020125,刘雷,李苑,1,1,120,女,有
115072020041,袁成,李苑,1,1,121,女,有
115072020077,郭秀英,李苑,1,1,121,女,有
115072020071,杜娟,李苑,1,1,121,女,没有
115072020063,李洋,李苑,1,1,121,女,有
115092020143,黄晶,李苑,1,1,122,女,有
115092020155,王春梅,李苑,1,1,122,女,有
115092020099,胡淑英,李苑,1,1,122,女,没有
115092020124,潘雪梅,李苑,1,1,122,女,有
115102020197,宋浩,李苑,1,1,123,女,没有
115102020075,钟瑜,李苑,1,1,123,女,有
